Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Name-additional
715,Bryan Shaw,36,CHW,4.0,5,5,3,0,1,1,0,1,0%,1,0,4,2,50%,8,1.187,1,2,2,1,0,4,4,1,1,3,1,0,2.4,19,shawbr01
716,Chasen Shreve*,33,COL,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,6,1.613,0,1,0,0,1,0,0,1,0,0,0,0,3.0,10,shrevch01
717,Chase Shugart,27,BOS,8.2,6,6,4,0,0,1,1,0,100%,1,0,3,1,33%,6,.969,1,0,5,2,0,4,2,4,3,1,3,1,4.3,24,shugach01
718,Jared Shuster*,25,CHW,73.1,39,35,14,2,3,2,0,2,0%,6,3,18,7,39%,6,.672,6,8,21,7,4,24,12,23,25,3,25,1,5.5,33,shustja01
719,Lucas Sims,30,TOT,49.1,58,58,6,1,6,5,1,4,20%,21,16,33,9,27%,,1.304,24,16,18,31,12,15,19,39,4,21,7,10,2.6,15,simslu01
720,Lucas Sims,30,CIN,35.1,43,43,5,1,4,3,1,2,33%,15,12,22,9,41%,8,1.216,18,13,12,23,9,11,12,31,1,16,4,8,2.5,15,simslu01
721,Lucas Sims,30,BOS,14.0,15,15,1,0,2,2,0,2,0%,6,4,11,0,0%,7,1.526,6,3,6,8,3,4,7,8,3,5,3,2,2.8,17,simslu01
722,Justin Slaten,26,BOS,55.1,44,44,8,6,2,6,2,4,33%,20,13,14,3,21%,8,1.169,19,19,6,27,9,8,9,35,15,6,16,8,3.8,18,slateju01
723,Burch Smith,34,TOT,56.1,50,50,13,4,1,1,0,1,0%,5,4,25,5,20%,,.500,6,10,34,13,4,33,16,34,18,10,20,5,3.4,18,smithbu03
724,Burch Smith,34,MIA,29.2,25,25,8,2,0,0,0,0,,1,1,15,4,27%,7,.501,2,5,18,4,1,20,9,16,12,3,12,0,3.6,20,smithbu03
